"Markettype","Trdwnt","Cwretmdos"
"5","2000-02","0.117706"
"10","2000-02","0.072463"
"15","2000-02","0.116189"
"21","2000-02","0.117706"
"31","2000-02","0.116189"
"37","2000-02","0.117706"
"47","2000-02","0.116189"
"53","2000-02","0.117706"
"63","2000-02","0.116189"
"69","2000-02","0.117706"
"79","2000-02","0.116189"
"85","2000-02","0.117706"
"95","2000-02","0.116189"
"101","2000-02","0.117706"
"111","2000-02","0.116189"
"117","2000-02","0.117706"
"127","2000-02","0.116189"
"33","2000-02","0.115725"
"20","2000-02","0.119825"
"5","2000-03","-0.065863"
"10","2000-03","-0.072157"
"15","2000-03","-0.066065"
"21","2000-03","-0.065863"
"31","2000-03","-0.066065"
"37","2000-03","-0.065863"
"47","2000-03","-0.066065"
"53","2000-03","-0.065863"
"63","2000-03","-0.066065"
"69","2000-03","-0.065863"
"79","2000-03","-0.066065"
"85","2000-03","-0.065863"
"95","2000-03","-0.066065"
"101","2000-03","-0.065863"
"111","2000-03","-0.066065"
"117","2000-03","-0.065863"
"127","2000-03","-0.066065"
"33","2000-03","-0.069569"
"20","2000-03","-0.061911"
"5","2000-04","0.050413"
"10","2000-04","0.013730"
"15","2000-04","0.049247"
"21","2000-04","0.050413"
"31","2000-04","0.049247"
"37","2000-04","0.050413"
"47","2000-04","0.049247"
"53","2000-04","0.050413"
"63","2000-04","0.049247"
"69","2000-04","0.050413"
"79","2000-04","0.049247"
"85","2000-04","0.050413"
"95","2000-04","0.049247"
"101","2000-04","0.050413"
"111","2000-04","0.049247"
"117","2000-04","0.050413"
"127","2000-04","0.049247"
"33","2000-04","0.046082"
"20","2000-04","0.055005"
"5","2000-05","0.058532"
"10","2000-05","0.042754"
"15","2000-05","0.058049"
"21","2000-05","0.058532"
"31","2000-05","0.058049"
"37","2000-05","0.058532"
"47","2000-05","0.058049"
"53","2000-05","0.058532"
"63","2000-05","0.058049"
"69","2000-05","0.058532"
"79","2000-05","0.058049"
"85","2000-05","0.058532"
"95","2000-05","0.058049"
"101","2000-05","0.058532"
"111","2000-05","0.058049"
"117","2000-05","0.058532"
"127","2000-05","0.058049"
"33","2000-05","0.055746"
"20","2000-05","0.061438"
"5","2000-08","0.100568"
"10","2000-08","-0.001682"
"15","2000-08","0.097547"
"21","2000-08","0.100568"
"31","2000-08","0.097547"
"37","2000-08","0.100568"
"47","2000-08","0.097547"
"53","2000-08","0.100568"
"63","2000-08","0.097547"
"69","2000-08","0.100568"
"79","2000-08","0.097547"
"85","2000-08","0.100568"
"95","2000-08","0.097547"
"101","2000-08","0.100568"
"111","2000-08","0.097547"
"117","2000-08","0.100568"
"127","2000-08","0.097547"
"33","2000-08","0.090943"
"20","2000-08","0.110536"
"5","2000-09","-0.025826"
"10","2000-09","-0.058049"
"15","2000-09","-0.026705"
"21","2000-09","-0.025826"
"31","2000-09","-0.026705"
"37","2000-09","-0.025826"
"47","2000-09","-0.026705"
"53","2000-09","-0.025826"
"63","2000-09","-0.026705"
"69","2000-09","-0.025826"
"79","2000-09","-0.026705"
"85","2000-09","-0.025826"
"95","2000-09","-0.026705"
"101","2000-09","-0.025826"
"111","2000-09","-0.026705"
"117","2000-09","-0.025826"
"127","2000-09","-0.026705"
"33","2000-09","-0.024186"
"20","2000-09","-0.027493"
"5","2000-10","0.061053"
"10","2000-10","0.007986"
"15","2000-10","0.059656"
"21","2000-10","0.061053"
"31","2000-10","0.059656"
"37","2000-10","0.061053"
"47","2000-10","0.059656"
"53","2000-10","0.061053"
"63","2000-10","0.059656"
"69","2000-10","0.061053"
"79","2000-10","0.059656"
"85","2000-10","0.061053"
"95","2000-10","0.059656"
"101","2000-10","0.061053"
"111","2000-10","0.059656"
"117","2000-10","0.061053"
"127","2000-10","0.059656"
"33","2000-10","0.066465"
"20","2000-10","0.055532"
"5","2000-11","-0.023885"
"10","2000-11","-0.025893"
"15","2000-11","-0.023935"
"21","2000-11","-0.023885"
"31","2000-11","-0.023935"
"37","2000-11","-0.023885"
"47","2000-11","-0.023935"
"53","2000-11","-0.023885"
"63","2000-11","-0.023935"
"69","2000-11","-0.023885"
"79","2000-11","-0.023935"
"85","2000-11","-0.023885"
"95","2000-11","-0.023935"
"101","2000-11","-0.023885"
"111","2000-11","-0.023935"
"117","2000-11","-0.023885"
"127","2000-11","-0.023935"
"33","2000-11","-0.024322"
"20","2000-11","-0.023436"
"5","2000-12","-0.018122"
"10","2000-12","-0.003946"
"15","2000-12","-0.017770"
"21","2000-12","-0.018122"
